,Feature Number,X Disp,Y Disp,X Abs,Y Abs
344,344,77.36846923828125,37.22755432128906,4799.882097244263,4113.699798583984
345,345,75.12823104858398,29.39037322998047,4293.298931121826,3287.420310974121
346,346,76.47402763366699,30.91949462890625,4472.573175430298,3505.3507232666016
347,347,76.18978500366211,31.336021423339844,4534.4898891448975,3579.6678161621094
348,348,75.73402404785156,30.09418487548828,4579.004259109497,3638.5561752319336
349,349,75.80935478210449,29.141502380371094,4606.427221298218,3675.542869567871
350,350,76.23358726501465,29.31537628173828,4640.070648193359,3739.5482635498047
351,351,78.15879821777344,31.237030029296875,4843.818340301514,4093.3848571777344
352,352,73.00294876098633,30.422019958496094,4224.01725769043,3241.8849182128906
353,353,78.46212387084961,30.550193786621094,4561.888046264648,3633.3351135253906
354,354,75.56994438171387,38.15052032470703,4821.555633544922,4230.975303649902
355,355,75.94096183776855,32.21382141113281,4642.666797637939,3829.305953979492
356,356,71.43021583557129,22.8228759765625,3985.5502796173096,2799.8374938964844
357,357,76.73086166381836,29.592323303222656,4685.070161819458,3820.142822265625
358,358,74.8037052154541,32.91522979736328,4581.550340652466,3731.572265625
359,359,77.17975616455078,25.883102416992188,4610.531215667725,3589.021339416504
360,360,77.35419273376465,36.24603271484375,4772.297773361206,4062.4545669555664
361,361,63.680419921875,22.043113708496094,3717.604637145996,2515.4959869384766
362,362,77.6228141784668,26.825332641601562,4676.181163787842,3755.2280044555664
363,363,78.10017585754395,37.53204345703125,4875.538702011108,4240.298690795898
364,364,64.12110328674316,24.673805236816406,3906.362886428833,2819.7240829467773
365,365,61.22128486633301,21.605262756347656,3749.0264797210693,2604.3459701538086
366,366,69.80881690979004,26.541290283203125,3985.9246158599854,2935.8548736572266
367,367,64.8647689819336,25.339317321777344,3855.813732147217,2767.373847961426
368,368,76.83774948120117,27.154769897460938,4330.158061981201,3269.523124694824
369,369,64.34183120727539,22.036972045898438,4076.527147293091,3019.851608276367
370,370,74.70139503479004,37.20947265625,4750.039215087891,4150.953903198242
371,371,75.11870384216309,32.225494384765625,4589.00899887085,3739.339256286621
372,372,76.63026809692383,29.2742919921875,4358.113975524902,3369.809036254883
373,373,77.08394050598145,25.98163604736328,4665.546426773071,3682.1473693847656
374,374,77.06216812133789,25.494537353515625,4665.55272102356,3689.3978881835938
375,375,67.69523620605469,32.671966552734375,4270.356101989746,3355.385208129883
376,376,70.4904842376709,29.79236602783203,4116.837873458862,3129.498405456543
377,377,63.56583595275879,20.37883758544922,4042.2341537475586,3008.7380599975586
